timestamp,city,aqi,weather_icon,wind_speed,humidity
2025-01-23T23:02:30.679110+07:00,Huế,89,/dl/web/weather/ic-w-11-night-few-clouds-full.svg,3.7 km/h,94%
2025-01-24T00:02:42.270803+07:00,Huế,89,/dl/web/weather/ic-w-11-night-few-clouds-full.svg,1.8 km/h,88%
2025-01-24T01:02:28.279247+07:00,Huế,89,/dl/web/weather/ic-w-11-night-few-clouds-full.svg,1.8 km/h,94%
2025-01-24T02:02:16.564100+07:00,Huế,89,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,1.8 km/h,94%
2025-01-24T03:02:23.336969+07:00,Huế,89,/dl/web/weather/ic-w-09-mist-full.svg,5.5 km/h,94%
2025-01-24T04:02:15.952261+07:00,Huế,89,/dl/web/weather/ic-w-09-mist-full.svg,5.5 km/h,94%
2025-01-24T05:02:14.395317+07:00,Huế,89,/dl/web/weather/ic-w-09-mist-full.svg,7.4 km/h,100%
2025-01-24T06:02:19.014581+07:00,Huế,89,/dl/web/weather/ic-w-09-mist-full.svg,3.7 km/h,100%
2025-01-24T07:04:55.020564+07:00,Huế,22,/dl/web/weather/ic-w-09-mist-full.svg,1.8 km/h,94%
2025-01-24T08:28:55.403541+07:00,Huế,64,/dl/web/weather/ic-w-09-mist-full.svg,3.7 km/h,94%
2025-01-24T09:22:01.807210+07:00,Huế,60,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,3.7 km/h,83%
2025-01-24T10:03:19.406677+07:00,Huế,60,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,3.7 km/h,83%
2025-01-24T11:02:27.314264+07:00,Huế,59,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,5.5 km/h,73%
2025-01-24T12:02:05.450185+07:00,Huế,64,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,5.5 km/h,69%
2025-01-24T13:02:28.071990+07:00,Huế,69,/dl/web/weather/ic-w-02-new-clouds-full.svg,7.4 km/h,65%
2025-01-24T14:02:22.587147+07:00,Huế,68,/dl/web/weather/ic-w-02-new-clouds-full.svg,5.5 km/h,57%
2025-01-24T15:02:29.462550+07:00,Huế,67,/dl/web/weather/ic-w-02-new-clouds-full.svg,11.1 km/h,61%
2025-01-24T16:02:23.547246+07:00,Huế,63,/dl/web/weather/ic-w-02-new-clouds-full.svg,16.7 km/h,69%
2025-01-24T17:02:21.429215+07:00,Huế,60,/dl/web/weather/ic-w-02-new-clouds-full.svg,18.5 km/h,73%
2025-01-24T18:02:20.347692+07:00,Huế,72,/dl/web/weather/ic-w-02-new-clouds-full.svg,14.8 km/h,73%
2025-01-24T19:02:41.486082+07:00,Huế,71,/dl/web/weather/ic-w-11-night-few-clouds-full.svg,9.2 km/h,83%
2025-01-24T20:05:23.063742+07:00,Huế,69,/dl/web/weather/ic-w-11-night-few-clouds-full.svg,1.8 km/h,88%
2025-01-24T21:02:26.030946+07:00,Huế,71,/dl/web/weather/ic-w-11-night-few-clouds-full.svg,1.8 km/h,88%
2025-01-24T22:02:27.802154+07:00,Huế,69,/dl/web/weather/ic-w-11-night-few-clouds-full.svg,3.7 km/h,88%
2025-01-24T23:02:32.083019+07:00,Huế,86,/dl/web/weather/ic-w-11-night-few-clouds-full.svg,3.7 km/h,94%
2025-01-25T00:02:13.599283+07:00,Huế,106,/dl/web/weather/ic-w-11-night-few-clouds-full.svg,3.7 km/h,94%
2025-01-25T01:02:32.710414+07:00,Huế,111,/dl/web/weather/ic-w-11-night-few-clouds-full.svg,1.8 km/h,94%
2025-01-25T02:02:19.901415+07:00,Huế,108,/dl/web/weather/ic-w-11-night-few-clouds-full.svg,3.7 km/h,94%
2025-01-25T03:02:20.166610+07:00,Huế,112,/dl/web/weather/ic-w-11-night-few-clouds-full.svg,3.7 km/h,94%
2025-01-25T04:02:15.155660+07:00,Huế,94,/dl/web/weather/ic-w-11-night-few-clouds-full.svg,3.7 km/h,100%
2025-01-25T05:02:26.877144+07:00,Huế,95,/dl/web/weather/ic-w-11-night-few-clouds-full.svg,3.7 km/h,94%
2025-01-25T06:02:21.548556+07:00,Huế,95,/dl/web/weather/ic-w-09-mist-full.svg,3.7 km/h,100%
2025-01-25T07:04:58.795317+07:00,Huế,96,/dl/web/weather/ic-w-09-mist-full.svg,1.8 km/h,94%
2025-01-25T08:28:45.987381+07:00,Huế,87,/dl/web/weather/ic-w-09-mist-full.svg,3.7 km/h,94%
2025-01-25T09:18:14.448613+07:00,Huế,87,/dl/web/weather/ic-w-09-mist-full.svg,1.8 km/h,94%
2025-01-25T10:02:07.437449+07:00,Huế,87,/dl/web/weather/ic-w-09-mist-full.svg,1.8 km/h,94%
2025-01-25T11:02:22.130866+07:00,Huế,83,/dl/web/weather/ic-w-09-mist-full.svg,7.4 km/h,100%
2025-01-25T12:02:10.608605+07:00,Huế,85,/dl/web/weather/ic-w-02-new-clouds-full.svg,8.2 km/h,59%
2025-01-25T13:02:28.245729+07:00,Huế,93,/dl/web/weather/ic-w-09-mist-full.svg,3.7 km/h,88%
2025-01-25T14:02:20.999080+07:00,Huế,96,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,7.4 km/h,83%
2025-01-25T15:02:23.868809+07:00,Huế,94,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,9.2 km/h,73%
2025-01-25T16:02:21.525629+07:00,Huế,90,/dl/web/weather/ic-w-02-new-clouds-full.svg,13.0 km/h,69%
2025-01-25T17:01:59.291762+07:00,Huế,77,/dl/web/weather/ic-w-02-new-clouds-full.svg,13.0 km/h,69%
2025-01-25T18:02:14.024336+07:00,Huế,68,/dl/web/weather/ic-w-02-new-clouds-full.svg,16.7 km/h,73%
2025-01-25T19:02:20.522701+07:00,Huế,61,/dl/web/weather/ic-w-11-night-few-clouds-full.svg,13.0 km/h,78%
2025-01-25T20:03:56.511565+07:00,Huế,59,/dl/web/weather/ic-w-11-night-few-clouds-full.svg,9.2 km/h,83%
2025-01-25T21:02:07.952047+07:00,Huế,59,/dl/web/weather/ic-w-11-night-few-clouds-full.svg,5.5 km/h,83%
2025-01-25T22:02:05.886399+07:00,Huế,58,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,9.2 km/h,88%
2025-01-25T23:02:09.615391+07:00,Huế,58,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,7.4 km/h,88%
2025-01-26T00:01:57.154003+07:00,Huế,68,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,3.7 km/h,88%
2025-01-26T01:02:08.466740+07:00,Huế,66,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,1.8 km/h,88%
2025-01-26T02:01:57.535969+07:00,Huế,69,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,3.7 km/h,94%
2025-01-26T03:02:13.986191+07:00,Huế,69,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,3.7 km/h,88%
2025-01-26T04:01:57.620257+07:00,Huế,65,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,1.8 km/h,94%
2025-01-26T05:02:32.914187+07:00,Huế,61,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,1.8 km/h,88%
2025-01-26T06:02:11.439546+07:00,Huế,60,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,1.8 km/h,94%
2025-01-26T07:04:58.938855+07:00,Huế,60,/dl/web/weather/ic-w-09-mist-full.svg,3.7 km/h,100%
2025-01-26T08:29:17.900619+07:00,Huế,75,/dl/web/weather/ic-w-09-mist-full.svg,3.7 km/h,94%
2025-01-26T09:23:38.235308+07:00,Huế,78,/dl/web/weather/ic-w-09-mist-full.svg,3.7 km/h,88%
2025-01-26T10:03:47.791463+07:00,Huế,78,/dl/web/weather/ic-w-09-mist-full.svg,3.7 km/h,88%
2025-01-26T11:02:18.823314+07:00,Huế,71,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,3.7 km/h,73%
2025-01-26T12:02:12.801416+07:00,Huế,64,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,9.2 km/h,73%
2025-01-26T13:02:13.629583+07:00,Huế,59,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,13.0 km/h,65%
2025-01-26T14:02:10.513171+07:00,Huế,57,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,14.8 km/h,65%
2025-01-26T15:02:09.384395+07:00,Huế,54,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,13.0 km/h,69%
2025-01-26T16:02:09.727388+07:00,Huế,56,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,13.0 km/h,73%
2025-01-26T17:02:17.994976+07:00,Huế,53,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,14.8 km/h,88%
2025-01-26T18:02:09.003070+07:00,Huế,43,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,20.4 km/h,88%
2025-01-26T19:02:26.373810+07:00,Huế,38,/dl/web/weather/ic-w-09-mist-full.svg,22.2 km/h,100%
2025-01-26T20:03:51.339527+07:00,Huế,31,/dl/web/weather/ic-w-12-night-rain-full.svg,24.1 km/h,94%
2025-01-26T21:02:09.927993+07:00,Huế,24,/dl/web/weather/ic-w-12-night-rain-full.svg,27.8 km/h,94%
2025-01-26T22:02:10.020751+07:00,Huế,24,/dl/web/weather/ic-w-12-night-rain-full.svg,27.8 km/h,100%
2025-01-26T23:02:17.295753+07:00,Huế,24,/dl/web/weather/ic-w-12-night-rain-full.svg,24.1 km/h,94%
2025-01-27T00:02:19.404322+07:00,Huế,24,/dl/web/weather/ic-w-12-night-rain-full.svg,20.4 km/h,100%
2025-01-27T01:02:27.877962+07:00,Huế,25,/dl/web/weather/ic-w-09-mist-full.svg,22.2 km/h,94%
2025-01-27T02:02:20.055811+07:00,Huế,63,/dl/web/weather/ic-w-09-mist-full.svg,20.4 km/h,94%
